method,path,auth_required,allow_usc,allowed_exe_paths,handler,source_file,source_line,source_url
GET,/api/2fa/create,true,true,[],TwoFaApi.__create_handler,kvmd/apps/kvmd/api/twofa.py,42,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/twofa.py#L42
GET,/api/2fa/delete,true,true,[],TwoFaApi.__delete_handler,kvmd/apps/kvmd/api/twofa.py,94,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/twofa.py#L94
GET,/api/2fa/init,true,true,[],TwoFaApi.__init_handler,kvmd/apps/kvmd/api/twofa.py,55,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/twofa.py#L55
GET,/api/2fa/is_enabled,false,true,[],TwoFaApi.__is_enabled_handler,kvmd/apps/kvmd/api/twofa.py,83,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/twofa.py#L83
GET,/api/2fa/show,true,true,[],TwoFaApi.__show_handler,kvmd/apps/kvmd/api/twofa.py,74,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/twofa.py#L74
GET,/api/2fa/verify,true,true,[],TwoFaApi.__verify_handler,kvmd/apps/kvmd/api/twofa.py,100,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/twofa.py#L100
POST,/api/ap/close_all_mode,true,true,[],ApApi.__close_all_mode_handler,kvmd/apps/kvmd/api/ap.py,124,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/ap.py#L124
POST,/api/ap/enable,true,true,[],ApApi.__ap_start_handler,kvmd/apps/kvmd/api/ap.py,73,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/ap.py#L73
POST,/api/ap/open_last_mode,true,true,[],ApApi.__open_last_mode_handler,kvmd/apps/kvmd/api/ap.py,104,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/ap.py#L104
GET,/api/ap/status,true,true,[],ApApi.__get_state_handler,kvmd/apps/kvmd/api/ap.py,63,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/ap.py#L63
GET,/api/astrowarp/enable,true,true,[],AstrowarpApi.__enable_handler,kvmd/apps/kvmd/api/astrowarp.py,95,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/astrowarp.py#L95
GET,/api/astrowarp/get_bind_link,true,true,[],AstrowarpApi.__get_bind_link,kvmd/apps/kvmd/api/astrowarp.py,144,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/astrowarp.py#L144
GET,/api/astrowarp/get_dynamic_code,true,true,[],AstrowarpApi.__get_dynamic_code,kvmd/apps/kvmd/api/astrowarp.py,156,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/astrowarp.py#L156
GET,/api/astrowarp/show,true,true,[],AstrowarpApi.__show_handler,kvmd/apps/kvmd/api/astrowarp.py,82,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/astrowarp.py#L82
GET,/api/astrowarp/status,true,true,[],AstrowarpApi.__status_handler,kvmd/apps/kvmd/api/astrowarp.py,62,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/astrowarp.py#L62
POST,/api/astrowarp/unbind,true,true,[],AstrowarpApi.__unbind_handler,kvmd/apps/kvmd/api/astrowarp.py,134,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/astrowarp.py#L134
GET,/api/atx,true,true,[],AtxApi.__state_handler,kvmd/apps/kvmd/api/atx.py,43,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/atx.py#L43
